Account Number,Name,Age,Income,Expenses,Balance
GB35VKRO26745549783318,Anthony Harris,31,49339.20201352683,43231.67714184782,6107.524871679016
GB67JVOX94395074324008,Denise Perkins,67,37889.838002375436,38523.97413701331,-634.1361346378762
GB95VPAS22569709184942,Diana Ross,26,43481.63892197841,35339.63498131758,8142.003940660834
GB69CPXW44894632520117,Carlos Edwards,43,50473.98671316414,24052.969327332044,26421.017385832092
GB54HPZM90361880540806,Bryan Johnson,19,41395.866347160474,45136.001065697164,-3740.1347185366903
GB04QDCX30226453313371,Adam Johnson,37,46154.44455770175,34672.991603380884,11481.452954320863
GB08WVYG35765447035914,Mark Moran,45,60062.92809214441,28300.83164289712,31762.09644924729
GB69ECJN87307345877636,Alexander Mcclain,64,44231.081304768515,11277.377867183506,32953.703437585005
GB90XUYC84088961442548,Lauren Taylor,24,58356.921120651416,39724.85094949364,18632.07017115778
GB73ZYQA03805326216283,Melissa Peterson,61,38702.93145342382,57722.51596669744,-19019.58451327362
GB17EKPV42278626793270,Danny Hernandez,25,55298.04177915283,56612.5921454787,-1314.5503663258714
GB66VEMM69435611010352,Tina Davidson,64,64415.686206579005,35429.03743413728,28986.648772441724
GB70OYWK95074561544621,Frank Harris,52,25283.554998727108,33977.879396382195,-8694.324397655088
GB53SYLA59081886174593,Diane Johnson,31,42031.04744529523,44687.74256075024,-2656.6951154550043
GB79VRUX12121666328577,Bryan Diaz,34,55770.7212718054,30016.145608117084,25754.575663688316
GB89EAYZ70014077089030,Christopher Harper,53,47969.54613957007,43017.91899819466,4951.6271413754075
GB52GUDI48714722581030,Melissa Hodge,67,53711.45873371309,47660.802783846906,6050.655949866181
GB70LOQW09302836317212,Amanda Mercer,57,43960.148132841794,52269.332238843075,-8309.184106001281
GB68RSRQ90467267604974,Kelsey Sanders,21,50865.897874729,38998.45923520047,11867.438639528533
GB26EGZS18691285981040,Justin Watts,19,48443.227646079205,37963.26249823034,10479.965147848867
GB89OQVX04333663299801,Jacob Porter,23,61677.820616598074,31220.17413243439,30457.646484163684
GB12CPPL92823556887553,Gregory Ford,59,52544.20843301213,31731.1964596014,20813.01197341073
GB71RHSM69068170971708,Taylor Skinner,21,53376.026620752025,37735.21108098473,15640.815539767296
GB62GIXJ78915822418368,Jason West,46,45881.23033877533,43673.65506816178,2207.5752706135463
GB72DFOM26757227712285,Ashley Brown,35,45123.93775927507,49135.846262332496,-4011.908503057428
GB45SSEA17726130868673,Kristin Brown,43,45674.41812180379,31968.21049319655,13706.20762860724
GB55IUSA14525640758959,Robert Smith,61,53944.52142378297,54926.88568959522,-982.364265812248
GB93GTIF28565990501557,Jeffrey Sherman,51,45790.15519179737,37288.76398957431,8501.391202223058
GB53PBNN51820584515270,Margaret Leblanc,27,52897.748568964125,39786.32705651564,13111.421512448484
GB21HGDO86111924604224,Randall Stephens,53,70754.00798645438,32527.883208521765,38226.124777932615
GB94MENB88620542637216,Dustin Spencer,31,58711.247034316926,15757.597397270583,42953.64963704634
GB10GEOG91681979076766,Brandon Walsh,48,46739.76467832159,48840.4539636105,-2100.689285288907
GB12LHAU12210620843372,Anthony Terry,65,62012.139221639445,47368.43897092433,14643.700250715112
GB91IPFK88248177058481,Steven Fitzpatrick,32,45919.24626978449,37186.72442881786,8732.521840966627
GB59KFTU87315348013049,Elizabeth Martinez,25,29618.75464822146,40669.90717224872,-11051.15252402726
GB45EITX34166762963555,Helen Nguyen,31,39919.13689082596,45159.392177040994,-5240.255286215033
GB74TICS63234658819034,Christian Miller,40,31292.08078974144,24374.541431134574,6917.539358606868
GB98HOTA35984690328668,David Jimenez,57,46484.865159586916,34709.473226537055,11775.391933049861
GB70LYHT11319747758950,Sandra Combs,38,50184.18379189551,47942.64679621827,2241.536995677241
GB39BBII75529634969305,Michele Price,33,66764.37312275283,27457.105768307505,39307.26735444533
GB98XUTO92760692237428,Derek Curtis,62,53269.273737641626,42935.57932166629,10333.694415975333
GB52VWIK52542742314498,Victoria Tyler,35,47808.99471191136,26434.18195376595,21374.812758145406
GB11DCYH58763729697646,Erica Thomas,64,58294.05581183489,44664.29982433526,13629.75598749963
GB25LJMQ37457699943846,Jason Nelson,41,27888.64690992115,39643.58517702516,-11754.938267104011
GB18QBDS84470746792397,Michaela Sims,43,52356.14558108566,23848.681840944904,28507.463740140753
GB42JMWJ15636783656362,Kara Garcia,42,57708.65193886967,51647.393544571714,6061.2583942979545
GB13PUBU38120199168792,Olivia Romero,62,35214.137542201584,32654.08423201951,2560.053310182073
GB48AIGQ30367485746498,Charles Davis,58,61437.54043206929,31897.47562985619,29540.0648022131
GB52INNO13563908763142,Joseph Henry,46,53384.96407494414,42005.691972309425,11379.272102634714
GB75KHEZ15832209326421,Haley Watson,32,45847.120860991985,51486.37349428715,-5639.2526332951675
GB92MEGD50426417968581,Kristen Nelson,62,56327.81866106285,29841.78181021603,26486.036850846816
GB16PITV84099390517690,Reginald Hardin,18,72706.92857804395,40616.798498479715,32090.13007956424
GB09ELNU23870794513611,Kathleen Ruiz,42,51818.66255058495,44288.16500330573,7530.497547279221
GB23UHGE02300173170301,Natalie Beard,24,52482.205863003364,46931.05607263144,5551.149790371921
GB20GOJV97006377859463,James Williams,26,45406.39100459756,41764.415552772254,3641.975451825303
GB61KFOP64453382077707,Sandra Wolf,41,41501.55630535208,36329.72160916678,5171.834696185302
GB82EQNC82380540039353,Kimberly Banks,18,58303.358165442456,31724.097793512803,26579.260371929653
GB26DCUU45716778823669,James Robinson,61,41439.161740911324,40861.43883046375,577.7229104475773
GB47VDEI48968663286537,Mr. Joseph Baker,25,50715.662372193925,29278.60988014393,21437.052492049996
GB76CIQI85083338298105,Carly Jordan,41,45223.42553234883,10786.495165053926,34436.9303672949
GB52ZVSM45543347372856,William Quinn,28,54789.79825746392,44365.598041576675,10424.200215887242
GB30HVED90150199633422,George Davies,68,53336.62105286949,49039.34841086195,4297.272642007534
GB47AKNX10159550535152,Paige Wells,34,60375.39944257899,16370.675644581615,44004.72379799738
GB23KAJS91691977738785,James Gomez,25,44899.83601145253,29902.692952900623,14997.143058551905
GB36MBQN46917001198405,Dr. Brendan Bright,52,47301.250647066285,46191.542610051976,1109.7080370143085
GB20RXKQ26165733164684,Michael Dawson,52,40212.362842176924,60574.954697116984,-20362.59185494006
GB51RECZ00268538791154,Steven Roberts,50,45557.067399238884,40207.93707675408,5349.130322484802
GB44FWIP12209499818876,Stephanie Henry,22,53773.00493044852,32719.970587708656,21053.034342739866
GB48WGYA55042825459757,Dustin Brown,59,57569.88616645352,38171.0355889516,19398.850577501922
GB86QSYY07243723478480,Katherine Adams,56,40778.34675822374,53748.764191481845,-12970.417433258102
GB25WFSC09962759021272,Justin Alvarez,58,58696.0592010566,33540.358208754646,25155.700992301958
GB53SQFO62561759122706,Vanessa Barber,45,63556.37858804951,32008.079933497465,31548.298654552047
GB78SXDU18368517035564,Madison Cook,24,54134.349032237005,35172.56477817967,18961.784254057333
GB73RZTE33034021327705,David Vasquez,26,68767.95812558066,30466.713917412875,38301.24420816778
GB49ZTJA20449753020700,Kathryn Brennan,25,42262.10800896427,41226.70315994795,1035.4048490163186
GB22VUWV87842912106135,Sally Bray,29,37553.45296688583,56246.784584695604,-18693.331617809774
GB03YSKK13399701927040,Luke Barber,51,32212.797510957214,43230.79273116029,-11017.995220203076
GB46FZJI94710764658479,Jeffery Walsh,50,64960.44311489183,37476.46497873712,27483.978136154707
GB30AXMR20849543323118,Mary Peterson,65,56543.65656354058,37081.88731084456,19461.769252696016
GB68ESZU12434336281969,Jeffrey Gardner,40,49444.15329089545,24368.09191303343,25076.061377862017
GB82CPKD55346981837069,Christian Ho,41,52799.6862631982,48831.09777147159,3968.5884917266085
GB18WWLF53697011921621,Chad Powell,54,38745.10952701623,39221.62802987198,-476.5185028557462
GB29NHER51166686355110,Rebecca Harris,52,74457.51979616826,38195.20086409374,36262.318932074515
GB97ZNPR98853242053185,Kayla Chandler,61,51292.21181975227,71931.07567844861,-20638.863858696343
GB87OYMJ95390360034398,Johnny Miller,57,51093.94794604893,42987.52908365686,8106.418862392071
GB88NHKW66228039725176,Rachael Fletcher,39,57257.66623898692,32482.089499048157,24775.576739938766
GB04AQLD15590967674925,Ryan Ortiz,44,54810.09231736713,35736.42403794457,19073.668279422564
GB97GIUQ66466498137102,Audrey Horne DDS,52,52238.84024279132,51484.457091967546,754.3831508237708
GB14ZYWY83571595536374,Erica Guerrero,18,42095.25544554688,41132.70410537764,962.5513401692369
GB64OTTT77162018132398,Cody Middleton,52,54714.68357135996,25617.220216826332,29097.463354533626
GB35YWQX75297375370744,Tina Hernandez,54,68820.24496475034,49192.28934575203,19627.955618998305
GB21GJFR44449380566654,Corey Wright DVM,64,63454.20046154978,33318.55914461006,30135.64131693972
GB71EPAR62860548086486,Erik Herrera,31,65931.86626639398,58732.977762175455,7198.888504218521
GB09ZOJI33749199491149,Carlos Hammond,20,44887.843235688146,50800.48065714649,-5912.637421458341
GB53PTCK99481885540631,Marco Brown,18,40103.95179741419,35526.78104341249,4577.170754001701
GB85WTAB37854752224142,Todd Blankenship,22,48742.13079900352,52810.16361735113,-4068.0328183476086
GB35RAJN20740200299951,Mary Blake,43,50557.24912288695,40678.555105274034,9878.694017612914
GB47LMCB51392890246916,Nicole Jenkins,31,60941.91518470948,48527.7367512222,12414.178433487286
GB18WOYU71806729055168,Jennifer Carter,56,33075.353702851804,44847.32817294475,-11771.974470092944
GB41QPNU34797895367448,Alexander Joseph,44,65295.503194606135,31536.433450091266,33759.06974451487
GB23VTCN53340451515736,Amy Monroe,26,48419.92101421011,33564.501676825384,14855.419337384723
GB57TWZB48646249439479,Jennifer Richardson,32,45731.1893005258,50299.60817581161,-4568.41887528581
GB39FPZL83317273847115,Bryan Holt,32,39878.956247398324,36652.24667893459,3226.7095684637316
GB46TDMT99011822544408,Robert Johnson,43,33451.4332813423,35963.51536758003,-2512.0820862377295
GB46BNTJ12213402470427,Emily Lopez,59,58231.70583961914,30448.77420650647,27782.931633112672
GB11IKUA81889003333347,Jennifer Martinez,30,50733.17967188404,44235.99065593461,6497.189015949429
GB27AOAL77633494935550,Andrea Bartlett,68,37100.39100258946,60625.24919243145,-23524.858189841994
GB82UZKZ14209926200334,Heather Molina,49,37049.21227936384,29324.67085745727,7724.5414219065715
GB50BEJE30213026166334,Marco Castaneda,56,46642.15300709872,40242.19456672758,6399.9584403711415
GB78SJZZ23427028071445,Sharon Smith,66,66690.21525289393,54122.205554154294,12568.00969873964
GB21DJPC18301627862270,Andrea Gonzalez,69,47404.08648636395,39203.58608754285,8200.500398821103
GB16ZGLF87696742116438,Johnny Huffman,49,34968.570468818936,44523.71796249734,-9555.147493678407
GB29HXGV10379497545468,Wendy Thompson,21,47542.56935914056,29376.064718531205,18166.504640609353
GB80NGCU18224478212197,Victor Davis,47,47272.7643025233,44283.070972076486,2989.693330446811
GB98OHMB95133146828787,Kenneth Perry,54,23031.133570584283,38128.55734995451,-15097.42377937023
GB86LQQY55743190497596,Carla Ryan,40,49457.05133482188,49857.299956798626,-400.2486219767452
GB23UPOB72255262623010,David Brown,56,47690.65469791322,51873.86051564751,-4183.2058177342915
GB69HABU00181774122536,Cynthia Johnson,62,56962.063648134186,65895.63642018613,-8933.572772051943
GB77UZVG69487266013240,Rachel Kennedy,32,68489.56094945346,45796.33173213575,22693.229217317705
GB10GOOP52807192048530,Felicia Hernandez,60,61265.65029547757,43257.96316582167,18007.687129655904
GB26RWXL06285324085854,Michael Walsh,46,47311.11309445169,41943.84301577336,5367.270078678332
GB13NTOH20158992164082,Tammy Day,53,38934.7409125833,36468.33707189312,2466.403840690182
GB66ZELC65660140674743,Cameron Smith,30,75733.5980324986,43384.83843461691,32348.75959788169
GB62CBMF14545655825168,Christian Chandler,49,50592.184340144886,37045.9858986097,13546.198441535184
GB98UKWD14043852526247,Aaron Ford,24,50139.29291912946,41684.60976269614,8454.683156433319
GB94BLBM17478289184644,Ryan Aguilar,68,49758.749128899966,53175.975356079594,-3417.226227179628
GB98FFWF97286725690485,Jessica Lopez,39,51980.84760767855,29934.57434720359,22046.27326047496
GB29TAPZ30847454286260,Brian Palmer,45,48556.395880760574,51398.785611290456,-2842.3897305298815
GB35HUCI43544936924763,Brandon Mueller,19,44263.37993119764,53171.15067339865,-8907.770742201013
GB96MVGC16457355816400,Jessica Martin,59,44531.41058759608,38819.314730089216,5712.095857506865
GB09HGPF24095696630851,Stephanie Harper,62,49672.46729784002,18781.451009914053,30891.016287925966
GB16SVEN43763748442080,Ryan Carrillo,23,44565.75228866235,33921.780129055674,10643.972159606674
GB45VFUD17302947131862,Harold Diaz,45,42871.54217322836,52969.94546561109,-10098.403292382733
GB73XCSA10112998270473,Cody Barr,45,51064.30227691897,39771.319377011176,11292.982899907794
GB93AKTM72997811062500,Adrienne Waller,61,47450.22782579145,30006.97767705089,17443.25014874056
GB39WOME69750582751443,Timothy Perez,61,65039.92988582688,34952.25078771783,30087.679098109053
GB95FYTT85133543412373,Eric Blackwell,37,23490.30191606988,48406.20026504553,-24915.898348975654
GB45QGLD60528099155070,Crystal Garrett,47,60915.06851922462,45467.33568201379,15447.732837210824
GB54GWPF99947780697397,Travis Campbell MD,28,62460.85192497629,37610.67900830306,24850.172916673233
GB77YWGD89759249724546,Angel Mccormick,45,29266.097675918507,36331.755881853125,-7065.658205934618
GB42OXOY33760870612916,Tina Cook,42,46573.12405919651,36082.41850956178,10490.705549634731
GB76LQWX50725044237936,Kevin Garrett,56,46285.59134004208,30775.898155014973,15509.69318502711
GB83OIBZ33825639708018,Phillip Garcia,50,35924.88305282179,56153.756894694416,-20228.873841872628
GB34HXBC73509485033109,Derek Guerrero,18,42221.833124091245,36776.7953078866,5445.037816204647
GB72NBYH67978224911981,George Davis,44,38894.24154534171,52171.58520825497,-13277.343662913256
GB81QSVP65321600067177,Samantha Leon,69,67522.70443423622,55213.16051922451,12309.543915011709
GB26OCBZ06213887678092,Eric Washington,30,59356.78393147461,49983.10898147961,9373.674949995002
GB72ZDBK73307049338809,Heather Peterson,58,62715.550949941586,35683.79687281952,27031.754077122067
GB32ABUY47359382091339,Cheryl Roberts,20,57216.72064043235,44037.30090336609,13179.419737066259
GB90MECD06131407772815,Antonio Rojas,56,38709.48228782771,39758.043936090835,-1048.561648263123
GB69YJVH58318946194944,Valerie Johnson,23,44754.79733720226,30962.98139269872,13791.815944503542
GB03FDKT00735769964787,Jennifer Trujillo,25,54893.74561227918,43243.59281721603,11650.15279506315
GB09NSGY65044932484177,Kelly Good,44,37778.721911080545,28209.602088401974,9569.119822678571
GB25QXJG23136648662129,Jane Williams,26,57129.98430172388,51876.79388461564,5253.190417108242
GB06KJWK61841992222228,Amy Humphrey,54,47596.74601841865,35353.82702701607,12242.918991402577
GB70JQBI52326182585065,Donald Robinson Jr.,50,46251.791924504025,42011.59655872839,4240.195365775631
GB82VEGZ45790387229092,Kenneth Cox,68,57109.59968203492,42832.87871546142,14276.720966573499
GB23WYRD27259690409114,Brian Moran,59,54442.6331148604,37410.950262959224,17031.682851901176
GB58XDTT96361125748124,Sean Carter,61,46390.3383418092,45866.93801475275,523.4003270564499
GB23PHPD02512920141717,Tyler Coleman,41,61593.29803364248,35250.963433774756,26342.334599867725
GB77VJPW14046333029759,Andrew Ward,32,39189.366724001025,48712.97297457244,-9523.606250571414
GB18FOJU42624727696501,Megan Reid,49,56159.356069442634,26540.203197532515,29619.15287191012
GB14HBZK88851487022441,Alexandra Johnson,49,55931.01257968384,41263.79579546412,14667.216784219723
GB67IAUG93458115315714,John Patel,41,46904.535606860096,59389.289990582845,-12484.75438372275
GB66XOAB33210297168930,Olivia Evans,58,53261.33022242118,29996.686753944254,23264.643468476927
GB07HLWF10797244696256,Angela Hayes,69,37488.86423614697,33222.55029475148,4266.313941395485
GB43TKCD41352116981505,Carolyn Cameron,66,59240.27019206901,45139.07849658915,14101.191695479858
GB68ZHET32227658959502,Reginald Bradley,66,48150.97863557011,41795.81781939598,6355.160816174124
GB61JISV17540235341238,John Montgomery,69,44772.7697948096,43506.30099273559,1266.468802074014
GB59QDTC03481850691713,Veronica Harvey,29,60490.092258368895,44891.87130147663,15598.220956892263
GB16TZTR24514060964365,Erik Morris,56,42956.563094572404,46347.2146856177,-3390.6515910452945
GB54OZCW54154139010814,Maria Burgess,19,35915.3870363644,51096.99841956223,-15181.61138319783
GB18UMUP26603886508961,Samantha Buck,20,34433.708264760964,44098.18656928513,-9664.478304524164
GB59ZZBJ43579181183042,Shawn Bryant,66,56060.09951345639,37587.423453814576,18472.676059641817
GB30ORIX31135358444304,Earl Morales,54,37195.70647503717,46725.73701202731,-9530.03053699014
GB06XRVL63697969758329,Theresa Jordan,66,67547.94181984365,58998.81934895215,8549.122470891496
GB60OHCP18587232579440,Lisa Cox,34,29180.70592116278,38673.66253617426,-9492.956615011484
GB45IKHS69866920687898,Melissa Robinson,66,66964.56368290038,30254.706953293586,36709.85672960679
GB53LACZ45629043739925,Mary Lane,19,52110.17467202619,51070.80669286973,1039.3679791564573
GB16CYAN06899085780202,Sara Jackson,19,49032.868881296075,38796.18836046402,10236.680520832058
GB39RAPU59198024710112,Ethan Garner,45,44550.80913191051,18273.304539859637,26277.50459205087
GB88ANPZ00527850779197,John Manning,40,53991.361143520706,48474.216771504216,5517.14437201649
GB80WXLA23271660713405,Marilyn Stewart,54,49623.652975751516,34646.71814046077,14976.934835290747
GB96NXAH34268270730860,Thomas Hernandez,49,61033.01882016522,39094.66717695839,21938.351643206828
GB50ICRW64902783814379,James Jenkins,50,51142.276486620394,43319.80330569015,7822.473180930247
GB83PAXI38520084278078,Martin Harris,18,51503.01761461877,41904.99679779066,9598.02081682811
GB51TVVC69425611219572,Lawrence Gomez,36,46363.87787786144,47094.518171390395,-730.6402935289516
GB74CZFW54450082422047,Brandon Small,19,49430.543762789326,35645.13629430156,13785.407468487763
GB42KPAI99610667131709,Kimberly Myers,61,53078.01768892059,45131.05798176083,7946.95970715976
GB83ARJG19783839600621,Katherine Young,43,32898.31607343374,37404.53322416083,-4506.217150727083
GB19YLWK41872877569262,Michael Greer,49,36518.14577894287,47388.10480887503,-10869.959029932164
GB94XOKP43665070057507,Jessica Perez,23,57432.64094022715,46153.67484013054,11278.966100096615
GB48DQGI68908412796829,Terri Chen,49,51708.65438127942,30645.612979554047,21063.04140172537
GB48EDJZ83713913103680,Breanna Graham,21,48160.16663647321,50859.82116175032,-2699.65452527711
GB15JMRD21725626203653,Katherine Campbell,28,50184.33933065393,34640.36554885952,15543.973781794411
GB49HNNI33315180606763,Sandra Mcguire,34,53475.81705361671,48080.577982811454,5395.239070805255
GB06DRRP30480867523675,Kelsey Berry,55,44602.40319690639,43672.8731340134,929.5300628929836
GB95XSZC17823853211129,Paula Hooper,41,42216.95274597687,58381.83676795122,-16164.88402197435
GB17CSDT73576820494558,Michael White MD,22,51958.452550976814,37765.340176281476,14193.112374695338
GB33ZBFC54181811208901,Stephen Garcia,69,40216.27222384968,36506.83203881802,3709.440185031657
GB89UQRH32371972508353,Meghan Nguyen,51,54082.52755714472,39805.80394112267,14276.72361602205
GB09EEEN08237148545759,Andrew Kelly,23,32974.1639576216,36968.20217165725,-3994.0382140356523
GB56VXNJ24325024253101,Lawrence Moody,39,60291.55637325643,47999.4190194205,12292.137353835933
GB13HIOR88440397788070,Rebecca Rivera,28,54725.97482413043,23836.893915634122,30889.08090849631
GB12ZLHA65152039406191,Melissa Carlson,65,52560.29734313876,29463.175808536456,23097.121534602302
GB13DIOQ64512783583036,Christine Gomez,33,59826.90983945514,29321.970784208068,30504.939055247072
GB52MSVN35484298701060,Kenneth Lamb,50,66654.74444462577,49503.075919735755,17151.668524890018
GB43FCQP87518856720817,Lauren Alvarez,26,60143.7006501813,57106.13372581925,3037.5669243620505
GB91CBDH61561945171070,Mary Erickson,23,31591.257686683548,38955.507814625285,-7364.250127941737
GB49MJLI97597173037596,Tammy Reynolds,33,37204.23033264298,38311.782768099896,-1107.5524354569134
GB75NLAU66966803881432,Brittany Nelson,46,43751.81422304321,40700.521631131815,3051.2925919113986
GB34HQQX33985761137123,Jennifer Bauer,20,50260.91050210834,51618.7830260819,-1357.872523973565
GB96SCXN30419128018510,Sandra Christensen,37,55176.59020469123,30726.468658094258,24450.121546596973
GB34ARRD36187616217649,Bradley Miller,53,42742.561868465345,42383.68982734785,358.8720411174945
GB38HSPG42379239684147,Peter Wilson,36,51867.66764477079,49751.976297824294,2115.6913469464926
GB53CIHE84554898441641,Caitlin Kim,43,42446.170676466776,45010.94169939845,-2564.7710229316726
GB24ADXS73484728667372,Larry Drake,20,43884.82197008052,41895.81616598743,1989.005804093089
GB52XFMP45594335037318,Janet Buchanan,36,35933.38903151778,50010.46092567141,-14077.071894153632
GB76MQZY36250857688132,David Stevens,37,40767.66753889096,12967.677070007629,27799.990468883327
GB05HUNW04222442033077,Amber Soto,49,36483.15394383667,46778.75319530907,-10295.599251472406
GB86WRMY91890905335728,Hannah Johnston,24,40241.267470226674,33459.24316872576,6782.024301500911
GB80GZLY86975098450272,Kelly Barnes,69,60536.41796607839,21693.67103143543,38842.74693464296
GB04KHWZ92702963137336,Carlos Robinson,58,40506.01111168057,45112.02599524981,-4606.014883569238
GB56TKRX57328502764981,Anthony White,50,76323.8206483739,53736.58545162958,22587.235196744325
GB11IRTG41110880609069,Natasha Moore,57,54933.17900880889,38625.514853723085,16307.664155085804
GB81RUJE25334764215636,Carlos Cantrell,56,51848.36123694874,49528.74547202938,2319.6157649193556
GB35EQUL52460142576106,Andre Wiley,35,41416.422198187865,56122.78257988646,-14706.360381698592
GB71CGPE68963786390856,Brandi Foster,57,57003.098794089914,53149.144535840474,3853.9542582494396
GB28USJX57606265837706,Yesenia Martinez,18,44243.62173762226,56399.645293713926,-12156.023556091663
GB98YBKQ23142010495677,Jonathan Decker,28,51220.098146453616,47421.27491071892,3798.8232357346933
GB85EFWW19738185155429,Melissa Holmes DDS,45,75600.84538268794,40754.33638901593,34846.50899367201
GB79BVBO88220921525156,Mr. Charles Lopez,42,49039.401002753504,23980.341881028315,25059.05912172519
GB80SHWB97584336142118,Isaiah Hill,67,61492.73326285676,37539.37511870052,23953.358144156242
GB96LIKX91610709936081,Victor Nguyen,40,42968.23574874113,31567.534046838085,11400.701701903043
GB23NUWP70494308988833,Erik Miller,48,49650.115095030385,61709.42717497814,-12059.312079947755
GB13OQJQ66446760942720,Blake King,47,67708.0063563551,38241.141875676636,29466.864480678458
GB88SKJO66929038908221,Angela Jones,59,43730.329422122326,41232.04806784486,2498.2813542774675
GB33SKMC75943591108492,Brooke Ellis,52,68124.48557996929,45514.85376040468,22609.63181956461
GB66ULQP49565890190696,Bryan Ward,24,57077.51935455475,40436.024463724534,16641.494890830218
GB17HIKY97985247465940,Cheryl Dawson,33,44375.332241057324,56950.51040430753,-12575.17816325021
GB25QRYP65627522066774,Anita Davis,43,56324.077390555205,33773.50638265548,22550.57100789972
